type;n;algo;threshold;time_ms
random;7300;intro;16;0
random;7400;intro;16;0
random;7500;intro;16;0
random;7600;intro;16;0
random;7700;intro;16;0
random;7800;intro;16;0
random;7900;intro;16;0
random;8000;intro;16;0
random;8100;intro;16;0
random;8200;intro;16;0
random;8300;intro;16;0
random;8400;intro;16;0
random;8500;intro;16;0
random;8600;intro;16;0
random;8700;intro;16;0
random;8800;intro;16;0
random;8900;intro;16;0
random;9000;intro;16;0
random;9100;intro;16;0
random;9200;intro;16;0
random;9300;intro;16;0
random;9400;intro;16;0
random;9500;intro;16;0
random;9600;intro;16;0
random;9700;intro;16;0
random;9800;intro;16;0
random;9900;intro;16;0
random;10000;intro;16;0
random;10100;intro;16;0
random;10200;intro;16;0
random;10300;intro;16;0
random;10400;intro;16;0
random;10500;intro;16;0
random;10600;intro;16;0
random;10700;intro;16;0
random;10800;intro;16;0
random;10900;intro;16;0
random;11000;intro;16;0
random;11100;intro;16;0
random;11200;intro;16;0
random;11300;intro;16;0
random;11400;intro;16;0
random;11500;intro;16;0
random;11600;intro;16;0
random;11700;intro;16;0
random;11800;intro;16;0
random;11900;intro;16;0
random;12000;intro;16;0
random;12100;intro;16;0
random;12200;intro;16;0
random;12300;intro;16;0
random;12400;intro;16;0
random;12500;intro;16;0
random;12600;intro;16;0
random;12700;intro;16;0
random;12800;intro;16;0
random;12900;intro;16;0
random;13000;intro;16;0
random;13100;intro;16;0
random;13200;intro;16;0
random;13300;intro;16;0
random;13400;intro;16;0
random;13500;intro;16;0
random;13600;intro;16;0
random;13700;intro;16;0
random;13800;intro;16;0
random;13900;intro;16;0
random;14000;intro;16;0
random;14100;intro;16;0
random;14200;intro;16;0
random;14300;intro;16;0
random;14400;intro;16;0
random;14500;intro;16;0
random;14600;intro;16;0
random;14700;intro;16;0
random;14800;intro;16;0
random;14900;intro;16;0
random;15000;intro;16;0
random;15100;intro;16;0
random;15200;intro;16;0
random;15300;intro;16;0
random;15400;intro;16;0
random;15500;intro;16;0
random;15600;intro;16;0
random;15700;intro;16;0
random;15800;intro;16;0
random;15900;intro;16;0
random;16000;intro;16;0
random;16100;intro;16;0
random;16200;intro;16;0
random;16300;intro;16;0
random;16400;intro;16;0
random;16500;intro;16;0
random;16600;intro;16;0
random;16700;intro;16;0
